Iteration,Turn,Duration
Iteration 1,Turn 0,114.73783790000016
Iteration 1,Turn 1,236.50586279999698
Iteration 1,Turn 2,122.87463730000309
Iteration 1,Turn 3,237.64580060000299
Iteration 1,Turn 4,133.82191060000332
Iteration 2,Turn 0,105.53913380000449
Iteration 2,Turn 1,169.08009909999964
Iteration 2,Turn 2,239.45392969998647
Iteration 2,Turn 3,241.98153889999958
Iteration 2,Turn 4,117.58633190000546
Iteration 3,Turn 0,113.82755460000772
Iteration 3,Turn 1,243.3225672999979
Iteration 3,Turn 2,234.7956822999986
Iteration 3,Turn 3,242.72107659999165
Iteration 3,Turn 4,93.95838500000536
Iteration 4,Turn 0,98.03363679999893
Iteration 4,Turn 1,223.61429820000194
Iteration 4,Turn 2,176.9980329999962
Iteration 4,Turn 3,235.33595709998917
Iteration 4,Turn 4,114.25107879999268
Iteration 5,Turn 0,111.7163753999921
Iteration 5,Turn 1,138.92674780001107
Iteration 5,Turn 2,208.2540308000025
Iteration 5,Turn 3,205.21868900000118
Iteration 5,Turn 4,143.43778710000333
Iteration 6,Turn 0,114.96381630000542
Iteration 6,Turn 1,234.02164609999454
Iteration 6,Turn 2,226.11942790000467
Iteration 6,Turn 3,224.23021719999088
Iteration 6,Turn 4,114.57303420000244
Iteration 7,Turn 0,89.37514869999723
Iteration 7,Turn 1,142.7650491000095
Iteration 7,Turn 2,210.96217169999727
Iteration 7,Turn 3,185.00504379998893
Iteration 7,Turn 4,105.65251070000522
Iteration 8,Turn 0,107.28876789999777
Iteration 8,Turn 1,221.24383009999292
Iteration 8,Turn 2,151.1596494999976
Iteration 8,Turn 3,220.99206290001166
Iteration 8,Turn 4,101.08433009999862
Iteration 9,Turn 0,194.36904730000242
Iteration 9,Turn 1,235.20270720000553
Iteration 9,Turn 2,227.3887803999969
Iteration 9,Turn 3,224.71763959999953
Iteration 9,Turn 4,133.98893320000207
Iteration 10,Turn 0,104.83887019999383
Iteration 10,Turn 1,222.3820940000005
Iteration 10,Turn 2,153.20986409999023
Iteration 10,Turn 3,164.28531760000624
Iteration 10,Turn 4,114.36051070000394
Iteration 11,Turn 0,101.35220419999678
Iteration 11,Turn 1,227.04195230000187
Iteration 11,Turn 2,206.9169971999945
Iteration 11,Turn 3,228.9333895000018
Iteration 11,Turn 4,126.450170600001
Iteration 12,Turn 0,127.71934849998797
Iteration 12,Turn 1,224.49790190000203
Iteration 12,Turn 2,229.58769519999623
Iteration 12,Turn 3,229.06184020001092
Iteration 12,Turn 4,109.75899149999896
Iteration 13,Turn 0,89.66082049999386
Iteration 13,Turn 1,225.04115799999272
Iteration 13,Turn 2,227.42042529999162
Iteration 13,Turn 3,227.06700609999825
Iteration 13,Turn 4,129.50882000000274
Iteration 14,Turn 0,95.2392991000088
Iteration 14,Turn 1,219.7487809000013
Iteration 14,Turn 2,226.7972199999931
Iteration 14,Turn 3,228.0625657000055
Iteration 14,Turn 4,110.57248199998867
Iteration 15,Turn 0,88.78415000000678
Iteration 15,Turn 1,226.77285960000881
Iteration 15,Turn 2,116.17639639999834
Iteration 15,Turn 3,225.92005830000562
Iteration 15,Turn 4,113.78534000000218
Iteration 16,Turn 0,97.0461507
Iteration 16,Turn 1,143.6072889000061
Iteration 16,Turn 2,231.1058453000005
Iteration 16,Turn 3,218.77368040000147
Iteration 16,Turn 4,140.57644959999016
Iteration 17,Turn 0,92.01316469999438
Iteration 17,Turn 1,227.93555569999444
Iteration 17,Turn 2,219.86410479999904
Iteration 17,Turn 3,245.95054609999352
Iteration 17,Turn 4,151.5776559000078
Iteration 18,Turn 0,82.87271569999575
Iteration 18,Turn 1,235.43047880000086
Iteration 18,Turn 2,242.80273319999105
Iteration 18,Turn 3,238.0958879999962
Iteration 18,Turn 4,91.22286679998797
Iteration 19,Turn 0,99.77666080000927
Iteration 19,Turn 1,236.8930481999996
Iteration 19,Turn 2,242.94224610000674
Iteration 19,Turn 3,152.2630799999897
Iteration 19,Turn 4,130.10395620000781
Iteration 20,Turn 0,230.27372379999724
Iteration 20,Turn 1,141.92179760000727
Iteration 20,Turn 2,183.4871104999911
Iteration 20,Turn 3,240.58891150000272
Iteration 20,Turn 4,138.98563709999144
Iteration 21,Turn 0,111.00906290000421
Iteration 21,Turn 1,238.98649739999382
Iteration 21,Turn 2,237.17106489998696
Iteration 21,Turn 3,239.43748939999205
Iteration 21,Turn 4,144.73719070000516
Iteration 22,Turn 0,105.24939919999451
Iteration 22,Turn 1,236.82160570000997
Iteration 22,Turn 2,231.59582319999754
Iteration 22,Turn 3,240.42343720000645
Iteration 22,Turn 4,156.11513260001084
Iteration 23,Turn 0,96.7298437999998
Iteration 23,Turn 1,205.31217150000157
Iteration 23,Turn 2,170.5696300000127
Iteration 23,Turn 3,230.4340102999995
Iteration 23,Turn 4,112.09606409999833
Iteration 24,Turn 0,130.4055223000032
Iteration 24,Turn 1,177.86790760001168
Iteration 24,Turn 2,216.05085299999337
Iteration 24,Turn 3,216.59196469999733
Iteration 24,Turn 4,106.87051999999676
Iteration 25,Turn 0,91.51551420000033
Iteration 25,Turn 1,220.68721959998948
Iteration 25,Turn 2,213.30353340000147
Iteration 25,Turn 3,227.61976570000115
Iteration 25,Turn 4,142.5142460000061
