Iteration,Turn,Duration
Iteration 1,Turn 0,64.20510260000083
Iteration 1,Turn 1,41.35164040000018
Iteration 1,Turn 2,38.93361679999725
Iteration 1,Turn 3,46.88921919999848
Iteration 1,Turn 4,72.6782991
Iteration 2,Turn 0,35.80081179999979
Iteration 2,Turn 1,45.66645079999944
Iteration 2,Turn 2,45.669679200000246
Iteration 2,Turn 3,58.84978350000165
Iteration 2,Turn 4,83.38830180000514
Iteration 3,Turn 0,39.167597699997714
Iteration 3,Turn 1,47.16242160000547
Iteration 3,Turn 2,55.70770780000021
Iteration 3,Turn 3,81.57377480000287
Iteration 3,Turn 4,35.82248439999967
Iteration 4,Turn 0,36.597714700001234
Iteration 4,Turn 1,34.005821200000355
Iteration 4,Turn 2,39.54292809999606
Iteration 4,Turn 3,59.50932289999764
Iteration 4,Turn 4,47.13856069999747
Iteration 5,Turn 0,40.42149330000393
Iteration 5,Turn 1,81.05126890000247
Iteration 5,Turn 2,42.61982200000057
Iteration 5,Turn 3,38.948493400006555
Iteration 5,Turn 4,45.40360520000104
Iteration 6,Turn 0,41.56756580000365
Iteration 6,Turn 1,45.14392890000454
Iteration 6,Turn 2,49.228678400002536
Iteration 6,Turn 3,39.00385140000435
Iteration 6,Turn 4,49.459866799996234
Iteration 7,Turn 0,31.66755369999737
Iteration 7,Turn 1,42.43320959999983
Iteration 7,Turn 2,42.747335599997314
Iteration 7,Turn 3,57.31561040000088
Iteration 7,Turn 4,51.694602100003976
Iteration 8,Turn 0,45.35235660000035
Iteration 8,Turn 1,67.05577289999928
Iteration 8,Turn 2,46.01049619999685
Iteration 8,Turn 3,58.97973060000368
Iteration 8,Turn 4,33.274871300003724
Iteration 9,Turn 0,54.14271590000135
Iteration 9,Turn 1,34.3356147999948
Iteration 9,Turn 2,65.21000079999794
Iteration 9,Turn 3,76.68084629999794
Iteration 9,Turn 4,42.08400860000256
Iteration 10,Turn 0,30.056262699996296
Iteration 10,Turn 1,42.13266560000193
Iteration 10,Turn 2,36.521332000003895
Iteration 10,Turn 3,52.3215027000042
Iteration 10,Turn 4,50.39492350000364
Iteration 11,Turn 0,38.896648200003256
Iteration 11,Turn 1,57.62104900000122
Iteration 11,Turn 2,62.39794460000121
Iteration 11,Turn 3,57.6839622999978
Iteration 11,Turn 4,56.70120759999554
Iteration 12,Turn 0,26.939291599999706
Iteration 12,Turn 1,54.88301479999791
Iteration 12,Turn 2,50.37544809999963
Iteration 12,Turn 3,54.10584659999586
Iteration 12,Turn 4,30.831355500005884
Iteration 13,Turn 0,48.72554539999692
Iteration 13,Turn 1,39.12061700000049
Iteration 13,Turn 2,27.34661899999628
Iteration 13,Turn 3,39.189418199996
Iteration 13,Turn 4,55.585911200003466
Iteration 14,Turn 0,39.113112200000614
Iteration 14,Turn 1,45.48712280000473
Iteration 14,Turn 2,39.018306400001165
Iteration 14,Turn 3,42.21223270000337
Iteration 14,Turn 4,34.629236000000674
Iteration 15,Turn 0,42.46452010000212
Iteration 15,Turn 1,44.75157670000044
Iteration 15,Turn 2,40.240874000002805
Iteration 15,Turn 3,54.59617459999572
Iteration 15,Turn 4,61.6778961999953
Iteration 16,Turn 0,41.10016170000017
Iteration 16,Turn 1,42.14253350000217
Iteration 16,Turn 2,61.96388190000289
Iteration 16,Turn 3,42.81071250000241
Iteration 16,Turn 4,54.468889700001455
Iteration 17,Turn 0,45.24128149999888
Iteration 17,Turn 1,33.70189169999503
Iteration 17,Turn 2,41.77985970000009
Iteration 17,Turn 3,48.829964099997596
Iteration 17,Turn 4,30.531974100005755
Iteration 18,Turn 0,41.489274400002614
Iteration 18,Turn 1,55.428629800000635
Iteration 18,Turn 2,42.532180300004256
Iteration 18,Turn 3,81.54408729999705
Iteration 18,Turn 4,42.23246599999402
Iteration 19,Turn 0,52.84209440000268
Iteration 19,Turn 1,54.7571769999995
Iteration 19,Turn 2,116.69668519999686
Iteration 19,Turn 3,68.91671320000023
Iteration 19,Turn 4,33.06911260000197
Iteration 20,Turn 0,49.187046799997916
Iteration 20,Turn 1,36.59522599999764
Iteration 20,Turn 2,45.45874979999644
Iteration 20,Turn 3,32.94539960000111
Iteration 20,Turn 4,41.713406800001394
Iteration 21,Turn 0,40.96154209999804
Iteration 21,Turn 1,54.629307200004405
Iteration 21,Turn 2,45.96479389999877
Iteration 21,Turn 3,31.034923699997307
Iteration 21,Turn 4,31.52803649999987
Iteration 22,Turn 0,45.4067811000059
Iteration 22,Turn 1,26.887729599999147
Iteration 22,Turn 2,39.438519699993776
Iteration 22,Turn 3,28.51206870000169
Iteration 22,Turn 4,33.329244599997764
Iteration 23,Turn 0,52.26271010000346
Iteration 23,Turn 1,46.73792079999839
Iteration 23,Turn 2,32.93729750000057
Iteration 23,Turn 3,39.204733899998246
Iteration 23,Turn 4,42.39434999999503
Iteration 24,Turn 0,45.045014999996056
Iteration 24,Turn 1,41.82612650000374
Iteration 24,Turn 2,100.8454836000019
Iteration 24,Turn 3,31.252967000000353
Iteration 24,Turn 4,31.270100699999603
Iteration 25,Turn 0,30.963277200004086
Iteration 25,Turn 1,45.09648600000219
Iteration 25,Turn 2,33.143503600003896
Iteration 25,Turn 3,55.208723000003374
Iteration 25,Turn 4,23.975462599999446
