Iteration,Turn,Duration
Iteration 1,Turn 0,73.21537709999757
Iteration 1,Turn 1,41.8028951999986
Iteration 1,Turn 2,54.662225500000204
Iteration 1,Turn 3,53.090059900001506
Iteration 1,Turn 4,54.11349060000066
Iteration 2,Turn 0,48.26979150000261
Iteration 2,Turn 1,136.98989409999922
Iteration 2,Turn 2,82.76459740000064
Iteration 2,Turn 3,39.717768099999375
Iteration 2,Turn 4,56.83971889999884
Iteration 3,Turn 0,78.31954229999974
Iteration 3,Turn 1,111.24066480000329
Iteration 3,Turn 2,47.808743600002344
Iteration 3,Turn 3,69.56673930000034
Iteration 3,Turn 4,55.02156620000096
Iteration 4,Turn 0,61.357047699999384
Iteration 4,Turn 1,53.07812339999873
Iteration 4,Turn 2,66.95070720000149
Iteration 4,Turn 3,40.12530460000198
Iteration 4,Turn 4,50.963219900000695
Iteration 5,Turn 0,54.385698399997636
Iteration 5,Turn 1,48.31299149999904
Iteration 5,Turn 2,48.19977989999825
Iteration 5,Turn 3,58.02799120000054
Iteration 5,Turn 4,60.21676270000171
Iteration 6,Turn 0,54.59582650000084
Iteration 6,Turn 1,41.60278589999871
Iteration 6,Turn 2,87.69912979999935
Iteration 6,Turn 3,49.94631550000122
Iteration 6,Turn 4,55.127710099997785
Iteration 7,Turn 0,57.17879499999981
Iteration 7,Turn 1,94.28974290000042
Iteration 7,Turn 2,67.96681259999968
Iteration 7,Turn 3,43.187425600001006
Iteration 7,Turn 4,54.30807210000057
Iteration 8,Turn 0,47.8604783999981
Iteration 8,Turn 1,75.14700319999974
Iteration 8,Turn 2,39.89109209999879
Iteration 8,Turn 3,42.668685199998436
Iteration 8,Turn 4,49.67749809999805
Iteration 9,Turn 0,65.78881909999836
Iteration 9,Turn 1,47.400180000000546
Iteration 9,Turn 2,50.574710400000185
Iteration 9,Turn 3,62.912074299998494
Iteration 9,Turn 4,50.83289919999879
Iteration 10,Turn 0,42.72775940000065
Iteration 10,Turn 1,58.09748109999782
Iteration 10,Turn 2,40.3867124999997
Iteration 10,Turn 3,50.440527500002645
Iteration 10,Turn 4,39.486491299998306
Iteration 11,Turn 0,49.41346740000154
Iteration 11,Turn 1,63.192249299998366
Iteration 11,Turn 2,46.681217299999844
Iteration 11,Turn 3,45.93997350000063
Iteration 11,Turn 4,50.36066519999804
Iteration 12,Turn 0,58.20844560000114
Iteration 12,Turn 1,56.16052040000068
Iteration 12,Turn 2,46.900768000003154
Iteration 12,Turn 3,45.233375399999204
Iteration 12,Turn 4,115.07744210000237
Iteration 13,Turn 0,48.84666139999899
Iteration 13,Turn 1,49.22735649999959
Iteration 13,Turn 2,45.873664599999756
Iteration 13,Turn 3,44.31089609999981
Iteration 13,Turn 4,55.05831000000035
Iteration 14,Turn 0,64.28532199999972
Iteration 14,Turn 1,47.032464200001414
Iteration 14,Turn 2,60.91786349999893
Iteration 14,Turn 3,62.12212089999957
Iteration 14,Turn 4,47.67228810000233
Iteration 15,Turn 0,53.332635599999776
Iteration 15,Turn 1,59.361005699996895
Iteration 15,Turn 2,44.04054290000204
Iteration 15,Turn 3,45.37766379999812
Iteration 15,Turn 4,53.332779699998355
Iteration 16,Turn 0,53.70745220000026
Iteration 16,Turn 1,70.2586623999996
Iteration 16,Turn 2,46.95877670000118
Iteration 16,Turn 3,44.130151400000614
Iteration 16,Turn 4,47.29474019999907
Iteration 17,Turn 0,52.76924570000119
Iteration 17,Turn 1,99.61844740000015
Iteration 17,Turn 2,61.605000200001086
Iteration 17,Turn 3,40.82908320000206
Iteration 17,Turn 4,51.223544800002855
Iteration 18,Turn 0,51.63910190000024
Iteration 18,Turn 1,80.52689009999813
Iteration 18,Turn 2,56.517939400000614
Iteration 18,Turn 3,52.24796569999671
Iteration 18,Turn 4,47.78743140000006
Iteration 19,Turn 0,75.28252179999981
Iteration 19,Turn 1,45.45419390000097
Iteration 19,Turn 2,48.84392149999985
Iteration 19,Turn 3,45.03101389999938
Iteration 19,Turn 4,45.66699309999967
Iteration 20,Turn 0,48.544393899999704
Iteration 20,Turn 1,72.32302749999872
Iteration 20,Turn 2,62.969572699999844
Iteration 20,Turn 3,47.912175800000114
Iteration 20,Turn 4,55.07587300000159
Iteration 21,Turn 0,49.238352700002
Iteration 21,Turn 1,90.11274439999761
Iteration 21,Turn 2,62.13094920000003
Iteration 21,Turn 3,45.36972059999971
Iteration 21,Turn 4,56.618722100000014
Iteration 22,Turn 0,61.98887950000062
Iteration 22,Turn 1,52.98581689999992
Iteration 22,Turn 2,68.58213180000166
Iteration 22,Turn 3,57.444030500002555
Iteration 22,Turn 4,47.34508679999999
Iteration 23,Turn 0,68.21761999999944
Iteration 23,Turn 1,51.013790199998766
Iteration 23,Turn 2,59.60699449999811
Iteration 23,Turn 3,46.977013300002
Iteration 23,Turn 4,48.48019739999654
Iteration 24,Turn 0,58.469364399999904
Iteration 24,Turn 1,64.57980329999918
Iteration 24,Turn 2,40.655042099999264
Iteration 24,Turn 3,34.251632899999095
Iteration 24,Turn 4,45.7947462000011
Iteration 25,Turn 0,50.329440099998465
Iteration 25,Turn 1,87.72286030000032
Iteration 25,Turn 2,46.96335569999792
Iteration 25,Turn 3,64.67319940000016
Iteration 25,Turn 4,65.91259249999712
